Age,Equal_Width,Equal_Frequency
33.6849,Bin_1,Bin_1
88.3479,Bin_4,Bin_4
77.1808,Bin_3,Bin_4
78.3425,Bin_4,Bin_4
71.2904,Bin_3,Bin_3
60.0822,Bin_2,Bin_1
85.6055,Bin_4,Bin_4
72.2849,Bin_3,Bin_3
72.2219,Bin_3,Bin_3
78.4164,Bin_4,Bin_4
59.1616,Bin_2,Bin_1
66.674,Bin_3,Bin_2
79.7014,Bin_4,Bin_4
77.7973,Bin_4,Bin_4
67.7288,Bin_3,Bin_2
58.274,Bin_2,Bin_1
68.6932,Bin_3,Bin_3
57.1096,Bin_2,Bin_1
74.2356,Bin_3,Bin_3
68.7342,Bin_3,Bin_3
82.1534,Bin_4,Bin_4
73.2877,Bin_3,Bin_3
73.1726,Bin_3,Bin_3
71.7096,Bin_3,Bin_3
72.7616,Bin_3,Bin_3
61.8932,Bin_2,Bin_2
67.2247,Bin_3,Bin_2
60.5315,Bin_2,Bin_1
50.8274,Bin_2,Bin_1
79.8712,Bin_4,Bin_4
69.9918,Bin_3,Bin_3
65.5616,Bin_3,Bin_2
53.6712,Bin_2,Bin_1
66.5096,Bin_3,Bin_2
73.3808,Bin_3,Bin_3
61.7041,Bin_2,Bin_2
68.126,Bin_3,Bin_2
